Date,Open,High,Low,Close
21 Jun 2017,9648.1,9650.45,9608.6,9633.6
20 Jun 2017,9670.5,9676.5,9643.75,9653.5
19 Jun 2017,9626.4,9673.3,9614.9,9657.55
16 Jun 2017,9595.45,9615.85,9565.5,9588.05
15 Jun 2017,9617.9,9621.4,9560.8,9578.05
14 Jun 2017,9621.55,9627.4,9580.45,9618.15
13 Jun 2017,9615.55,9654.15,9595.4,9606.9
12 Jun 2017,9646.7,9647.05,9598.5,9616.4
09 Jun 2017,9638.55,9676.25,9608.15,9668.25
08 Jun 2017,9682.4,9688.7,9641.5,9647.25
07 Jun 2017,9663.95,9678.55,9630.55,9663.9
06 Jun 2017,9704.25,9709.3,9630.2,9637.15
05 Jun 2017,9656.3,9687.2,9640.7,9675.1
02 Jun 2017,9657.15,9673.5,9637.45,9653.5
01 Jun 2017,9603.55,9634.65,9589.9,9616.1
31 May 2017,9636.55,9649.6,9609.25,9621.25
30 May 2017,9590.65,9635.3,9581.2,9624.55
29 May 2017,9560.05,9637.75,9547.7,9604.9
26 May 2017,9507.75,9604.9,9495.4,9595.1
25 May 2017,9384.05,9523.3,9379.2,9509.75
24 May 2017,9410.9,9431.9,9341.65,9360.55
23 May 2017,9445.05,9448.05,9370,9386.15
22 May 2017,9480.25,9498.65,9427.9,9438.25
19 May 2017,9469.9,9505.75,9390.75,9427.9
18 May 2017,9453.2,9489.1,9418.1,9429.45
17 May 2017,9517.6,9532.6,9486.1,9525.75
16 May 2017,9461,9517.2,9456.35,9512.25
15 May 2017,9433.55,9449.25,9423.1,9445.4
12 May 2017,9436.65,9437.75,9372.55,9400.9
11 May 2017,9448.6,9450.65,9411.3,9422.4
10 May 2017,9339.65,9414.75,9336,9407.3
09 May 2017,9337.35,9338.95,9307.7,9316.85
08 May 2017,9311.45,9338.7,9297.95,9314.05
05 May 2017,9374.55,9377.1,9272,9285.3
04 May 2017,9360.95,9365.65,9323.25,9359.9
03 May 2017,9344.7,9346.3,9298.4,9311.95
02 May 2017,9339.85,9352.55,9269.9,9313.8
28 Apr 2017,9340.95,9342.65,9282.25,9304.05
27 Apr 2017,9359.15,9367.15,9322.65,9342.15
26 Apr 2017,9336.2,9367,9301.35,9351.85
25 Apr 2017,9273.05,9309.2,9250.35,9306.6
24 Apr 2017,9135.35,9225.4,9130.55,9217.95
21 Apr 2017,9179.1,9183.65,9088.75,9119.4
20 Apr 2017,9108.1,9143.9,9102.65,9136.4
19 Apr 2017,9112.2,9120.5,9075.15,9103.5
18 Apr 2017,9163,9217.9,9095.45,9105.15
17 Apr 2017,9144.75,9160,9120.25,9139.3
13 Apr 2017,9202.5,9202.65,9144.95,9150.8
12 Apr 2017,9242.5,9246.4,9161.8,9203.45
11 Apr 2017,9184.55,9242.7,9172.85,9237
10 Apr 2017,9225.6,9225.65,9174.85,9181.45
07 Apr 2017,9223.7,9250.5,9188.1,9198.3
06 Apr 2017,9245.8,9267.95,9218.85,9261.95
05 Apr 2017,9264.4,9273.9,9215.4,9265.15
03 Apr 2017,9220.6,9245.35,9192.4,9237.85
31 Mar 2017,9158.9,9191.7,9152.1,9173.75
30 Mar 2017,9142.6,9183.15,9136.35,9173.75
29 Mar 2017,9128.7,9153.15,9109.1,9143.8
28 Mar 2017,9081.5,9110.4,9079.8,9100.8
27 Mar 2017,9093.45,9094.85,9024.65,9045.2
24 Mar 2017,9104,9133.55,9089.4,9108
23 Mar 2017,9048.75,9099.05,9048.6,9086.3
22 Mar 2017,9047.2,9072.9,9019.3,9030.45
21 Mar 2017,9133.95,9147.75,9087.2,9121.5
20 Mar 2017,9166.95,9167.6,9116.3,9126.85
17 Mar 2017,9207.8,9218.4,9147.6,9160.05
16 Mar 2017,9129.65,9158.45,9128.55,9153.7
15 Mar 2017,9086.85,9106.55,9075.5,9084.8
14 Mar 2017,9091.65,9122.75,9060.5,9087
10 Mar 2017,8953.7,8975.7,8903.95,8934.55
09 Mar 2017,8914.5,8945.8,8899.5,8927
08 Mar 2017,8950.7,8957.05,8891.95,8924.3
07 Mar 2017,8977.75,8977.85,8932.8,8946.9
06 Mar 2017,8915.1,8967.8,8914,8963.45
03 Mar 2017,8883.5,8907.1,8860.1,8897.55
02 Mar 2017,8982.85,8992.5,8879.8,8899.75
01 Mar 2017,8904.4,8960.8,8898.6,8945.8
28 Feb 2017,8898.95,8914.75,8867.6,8879.6
27 Feb 2017,8943.7,8951.8,8888.65,8896.7
23 Feb 2017,8956.4,8982.15,8927.55,8939.5
22 Feb 2017,8931.6,8960.75,8905.25,8926.9
21 Feb 2017,8890.75,8920.8,8860.95,8907.85
20 Feb 2017,8818.55,8886.25,8809.8,8879.2
17 Feb 2017,8883.7,8896.45,8804.25,8821.7
16 Feb 2017,8739,8783.95,8719.6,8778
15 Feb 2017,8778.95,8807.9,8712.85,8724.7
14 Feb 2017,8819.9,8820.45,8772.5,8792.3
13 Feb 2017,8819.8,8826.9,8754.2,8805.05
10 Feb 2017,8812.35,8822.1,8771.2,8793.55
09 Feb 2017,8795.55,8821.4,8724.1,8778.4
08 Feb 2017,8774.55,8791.25,8715,8769.05
07 Feb 2017,8805.7,8809.3,8741.05,8768.3
06 Feb 2017,8785.45,8814.1,8770.2,8801.05
03 Feb 2017,8735.15,8748.25,8707.75,8740.95
02 Feb 2017,8724.75,8757.6,8685.8,8734.25
01 Feb 2017,8570.35,8722.4,8537.5,8716.4
31 Jan 2017,8629.45,8631.75,8552.4,8561.3
30 Jan 2017,8635.55,8662.6,8617.75,8632.75
27 Jan 2017,8610.5,8672.7,8606.9,8641.25
25 Jan 2017,8499.45,8612.6,8493.95,8602.75
24 Jan 2017,8407.05,8480.95,8398.15,8475.8
23 Jan 2017,8329.6,8404.15,8327.2,8391.5
20 Jan 2017,8404.35,8423.65,8340.95,8349.35
19 Jan 2017,8418.4,8445.15,8404.05,8435.1
18 Jan 2017,8403.85,8460.3,8397.4,8417
17 Jan 2017,8415.05,8440.9,8378.3,8398
16 Jan 2017,8390.95,8426.7,8374.4,8412.8
13 Jan 2017,8457.65,8461.05,8373.15,8400.35
12 Jan 2017,8391.05,8417.2,8382.3,8407.2
11 Jan 2017,8327.8,8389,8322.25,8380.65
10 Jan 2017,8262.7,8293.8,8261,8288.6
09 Jan 2017,8259.35,8263,8227.75,8236.05
06 Jan 2017,8281.85,8306.85,8233.25,8243.8
05 Jan 2017,8226.65,8282.65,8223.7,8273.8
04 Jan 2017,8202.65,8218.5,8180.9,8190.5
03 Jan 2017,8196.05,8219.1,8148.6,8192.25
02 Jan 2017,8210.1,8212,8133.8,8179.5
30 Dec 2016,8119.65,8197,8114.75,8185.8
29 Dec 2016,8030.6,8111.1,8020.8,8103.6
28 Dec 2016,8047.55,8100.55,8028.4,8034.85
27 Dec 2016,7915.05,8044.65,7903.7,8032.85
26 Dec 2016,7965.1,7970.05,7893.8,7908.25
23 Dec 2016,7972.5,8022.6,7942.05,7985.75
22 Dec 2016,8043.85,8046.45,7964.95,7979.1
21 Dec 2016,8105.85,8112.55,8053.25,8061.3
20 Dec 2016,8110.6,8124.1,8062.75,8082.4
19 Dec 2016,8126,8132.5,8094.85,8104.35
16 Dec 2016,8178.2,8178.7,8127.45,8139.45
15 Dec 2016,8128.4,8225.9,8121.95,8153.6
14 Dec 2016,8229.35,8229.4,8165.1,8182.45
13 Dec 2016,8196.15,8228.85,8155.8,8221.8
12 Dec 2016,8230.65,8230.65,8154.45,8170.8
09 Dec 2016,8271.7,8274.95,8241.95,8261.75
08 Dec 2016,8152.1,8256.25,8151.75,8246.85
07 Dec 2016,8168.4,8190.45,8077.5,8102.05
06 Dec 2016,8153.15,8178.7,8130.85,8143.15
05 Dec 2016,8088.75,8141.9,8056.85,8128.75
02 Dec 2016,8153.55,8159.3,8070.05,8086.8
01 Dec 2016,8244,8250.8,8185.05,8192.9
30 Nov 2016,8172.15,8234.25,8139.25,8224.5
29 Nov 2016,8131.55,8197.35,8128.7,8142.15
28 Nov 2016,8080.65,8146.5,8066.5,8126.9
25 Nov 2016,8007.95,8122.25,7976.75,8114.3
24 Nov 2016,8011.8,8024.85,7952.55,7965.5
23 Nov 2016,8051.2,8055.2,7973.1,8033.3
22 Nov 2016,7989.15,8019.05,7938.15,8002.3
21 Nov 2016,8102.1,8102.45,7916.4,7929.1
18 Nov 2016,8097.55,8128.95,8048.3,8074.1
17 Nov 2016,8105.1,8151.25,8060.3,8079.95
16 Nov 2016,8205.65,8210.05,8089.4,8111.6
15 Nov 2016,8284.85,8288.55,8093.2,8108.45
11 Nov 2016,8456.65,8460.6,8284.95,8296.3
10 Nov 2016,8555.6,8598.45,8510.7,8525.75
09 Nov 2016,8067.5,8476.2,8002.25,8432
08 Nov 2016,8540,8559.4,8480.1,8543.55
07 Nov 2016,8535.75,8535.85,8481.45,8497.05
04 Nov 2016,8503.6,8504,8400.25,8433.75
03 Nov 2016,8499.85,8537.65,8476.15,8484.95
02 Nov 2016,8542.8,8549.5,8504.85,8514
01 Nov 2016,8653.15,8669.6,8614.5,8626.25
30 Oct 2016,8672.35,8678.25,8616.25,8625.7
28 Oct 2016,8625,8653.75,8581.75,8638
27 Oct 2016,8607.1,8624.85,8550.25,8615.25
26 Oct 2016,8657.3,8657.3,8596.6,8615.25
25 Oct 2016,8721.7,8722.65,8663.45,8691.3
24 Oct 2016,8709.85,8736.95,8684.15,8708.95
21 Oct 2016,8708.6,8709.1,8652.05,8693.05
20 Oct 2016,8693.35,8727,8678.3,8699.4
19 Oct 2016,8697.5,8698.75,8636.7,8659.1
18 Oct 2016,8556.05,8685.1,8555.9,8677.9
17 Oct 2016,8612.95,8615.4,8506.15,8520.4
14 Oct 2016,8594,8604.45,8549.8,8583.4
13 Oct 2016,8671.5,8681.55,8541.35,8573.35
10 Oct 2016,8735.35,8745.8,8703.95,8708.8
07 Oct 2016,8721.7,8723.7,8663.8,8697.6
06 Oct 2016,8768.7,8781.15,8684.65,8709.55
05 Oct 2016,8806.35,8806.95,8731.4,8743.95
04 Oct 2016,8770,8783.65,8736.1,8769.15
03 Oct 2016,8666.15,8745.2,8635,8738.1
30 Sep 2016,8581.5,8637.15,8555.2,8611.15
29 Sep 2016,8792.7,8800.65,8558.25,8591.25
28 Sep 2016,8711.2,8767.05,8703.15,8745.15
27 Sep 2016,8748.9,8768.5,8690.5,8706.4
26 Sep 2016,8807.9,8809.55,8715.1,8723.05
23 Sep 2016,8880.75,8885.2,8820.3,8831.55
22 Sep 2016,8873.35,8893.35,8837.8,8867.45
21 Sep 2016,8790.3,8826.85,8757.3,8777.15
20 Sep 2016,8816.1,8816.45,8759.3,8775.9
19 Sep 2016,8788.45,8824.3,8774.2,8808.4
16 Sep 2016,8780.85,8847.65,8750.5,8779.85
15 Sep 2016,8743.85,8751.95,8704.35,8742.55
14 Sep 2016,8710.65,8739.85,8688.9,8726.6
12 Sep 2016,8732.95,8746.95,8699.4,8715.6
09 Sep 2016,8934.3,8939.15,8858.7,8866.7
08 Sep 2016,8915.5,8960.35,8896,8952.5
07 Sep 2016,8968.7,8968.7,8913.35,8917.95
06 Sep 2016,8852.7,8950.85,8848.45,8943
02 Sep 2016,8796.35,8824.1,8768.2,8809.65
01 Sep 2016,8793.6,8813.25,8759.95,8774.65
31 Aug 2016,8754.05,8819.2,8754.05,8786.2
30 Aug 2016,8646.75,8750.6,8642.25,8744.35
29 Aug 2016,8583.75,8622,8543.75,8607.45
26 Aug 2016,8614.35,8622.95,8547.55,8572.55
25 Aug 2016,8668.85,8683.05,8583.65,8592.2
24 Aug 2016,8648.5,8661.05,8620.9,8650.3
23 Aug 2016,8628.35,8642.15,8580,8632.6
22 Aug 2016,8667,8684.85,8614,8629.15
19 Aug 2016,8694.3,8696.6,8647.1,8666.9
18 Aug 2016,8648.85,8690.7,8645.05,8673.25
17 Aug 2016,8639.8,8667.1,8603.6,8624.05
16 Aug 2016,8670.25,8682.35,8600.45,8642.55
12 Aug 2016,8605.45,8684.3,8604.45,8672.15
11 Aug 2016,8572.8,8601.15,8540.05,8592.15
10 Aug 2016,8686.7,8690.1,8564.6,8575.3
09 Aug 2016,8727.8,8728.35,8638.2,8678.25
08 Aug 2016,8712.85,8723.5,8697.6,8711.35
05 Aug 2016,8600.2,8689.4,8590.15,8683.15
04 Aug 2016,8599.95,8601.4,8518.15,8551.1
03 Aug 2016,8635.2,8635.45,8529.6,8544.85
02 Aug 2016,8647.45,8687.2,8611.4,8622.9
01 Aug 2016,8654.3,8711.3,8590.5,8636.55
29 Jul 2016,8668.3,8670.35,8631.15,8638.5
28 Jul 2016,8636.95,8674.7,8625.25,8666.3
27 Jul 2016,8599.4,8665,8572.05,8615.8
26 Jul 2016,8633.75,8644.9,8577.15,8590.65
25 Jul 2016,8519.95,8641.15,8517.2,8635.65
22 Jul 2016,8519.65,8548.95,8489.8,8541.2
21 Jul 2016,8582.7,8585.25,8503.45,8510.1
20 Jul 2016,8515.45,8569.9,8512.55,8565.85
19 Jul 2016,8514.3,8540.05,8476.7,8528.55
18 Jul 2016,8564.05,8587.1,8494.35,8508.7
15 Jul 2016,8565.45,8594.8,8510.05,8541.4
14 Jul 2016,8515.75,8571.4,8500.7,8565
13 Jul 2016,8540.45,8550.25,8493.55,8519.5
12 Jul 2016,8502.6,8526.6,8479.2,8521.05
11 Jul 2016,8413.35,8475.25,8407.05,8467.9
08 Jul 2016,8350,8353.3,8287.55,8323.2
07 Jul 2016,8342,8361.95,8317.7,8337.9
05 Jul 2016,8379.3,8381.45,8319.95,8335.95
04 Jul 2016,8376.75,8398.45,8364.7,8370.7
01 Jul 2016,8313.05,8356.75,8308.65,8328.35
30 Jun 2016,8260.25,8308.15,8242.1,8287.75
29 Jun 2016,8173.1,8212.4,8157.65,8204
28 Jun 2016,8096.05,8146.35,8086.85,8127.85
27 Jun 2016,8039.35,8120.65,8039.35,8094.7
24 Jun 2016,8029.1,8100.7,7927.05,8088.6
23 Jun 2016,8201.15,8285.6,8188.3,8270.45
22 Jun 2016,8213.65,8238.35,8153.25,8203.7
21 Jun 2016,8255.4,8257.25,8202.15,8219.9
20 Jun 2016,8115.75,8244.15,8107.35,8238.5
17 Jun 2016,8176.65,8195.25,8135.8,8170.2
16 Jun 2016,8180.65,8180.65,8074.45,8140.75
15 Jun 2016,8139.4,8213.2,8123.15,8206.6
14 Jun 2016,8134.4,8134.95,8069.5,8108.85
13 Jun 2016,8102.25,8125.25,8063.9,8110.6
10 Jun 2016,8180.25,8265.6,8162.85,8170.05
09 Jun 2016,8273.35,8273.35,8184.6,8203.6
08 Jun 2016,8285.5,8288.9,8252.05,8273.05
07 Jun 2016,8235.55,8294.95,8216.4,8266.45
06 Jun 2016,8228.75,8234.7,8186.05,8201.05
03 Jun 2016,8246.2,8262,8209.85,8220.8
02 Jun 2016,8156.9,8229.5,8154.75,8218.95
01 Jun 2016,8179.2,8215.35,8171.05,8179.95
31 May 2016,8209.85,8213.6,8134.3,8160.1
30 May 2016,8166.5,8200,8150.8,8178.5
27 May 2016,8081.95,8164.2,8077.05,8156.65
26 May 2016,7974.45,8083,7948.5,8069.65
25 May 2016,7811.8,7941.2,7809.3,7934.9
24 May 2016,7738.05,7761.55,7715.8,7748.85
23 May 2016,7813.95,7820.6,7722.2,7731.05
20 May 2016,7792.2,7812.4,7735.75,7749.7
19 May 2016,7875.5,7876.2,7766.8,7783.4
18 May 2016,7846.75,7882.05,7810.75,7870.15
17 May 2016,7896.85,7940.1,7879.7,7890.75
16 May 2016,7831.2,7873.9,7772.15,7860.75
13 May 2016,7881,7881,7784.2,7814.9
12 May 2016,7871.45,7916.05,7849.65,7900.4
11 May 2016,7804.65,7893.1,7780.9,7848.85
10 May 2016,7873.55,7896.9,7837.7,7887.8
09 May 2016,7755.25,7873.65,7753.55,7866.05
06 May 2016,7717.65,7738.9,7678.35,7733.45
05 May 2016,7731,7777.55,7706.85,7735.5
04 May 2016,7724.15,7749,7697.25,7706.55
03 May 2016,7824.8,7890.25,7735.15,7747
02 May 2016,7822.7,7829.8,7777.3,7805.9
29 Apr 2016,7844.25,7889.05,7788.7,7849.8
28 Apr 2016,7967.4,7992,7834.45,7847.25
27 Apr 2016,7942,7991,7940.55,7979.9
26 Apr 2016,7828.15,7974.5,7822.55,7962.65
25 Apr 2016,7894.8,7911,7827,7855.05
22 Apr 2016,7891.8,7923.35,7873.35,7899.3
21 Apr 2016,7953.65,7978.45,7884.1,7912.05
20 Apr 2016,7950.05,7950.4,7877.55,7914.75
18 Apr 2016,7908.15,7920.6,7842.75,7914.7
13 Apr 2016,7777.15,7864.8,7772.2,7850.45
12 Apr 2016,7669.25,7717.4,7663.35,7708.95
11 Apr 2016,7577.8,7678.8,7516.85,7671.4
08 Apr 2016,7542.35,7569.35,7526.7,7555.2
07 Apr 2016,7630.4,7630.75,7535.85,7546.45
06 Apr 2016,7636.05,7638.65,7591.75,7614.35
05 Apr 2016,7736.3,7736.3,7588.65,7603.2
04 Apr 2016,7733.15,7764.45,7704.4,7758.8
01 Apr 2016,7718.05,7740.15,7666.1,7713.05
31 Mar 2016,7727.65,7777.6,7702,7738.4
30 Mar 2016,7651.1,7741.95,7643.45,7735.2
29 Mar 2016,7606.55,7652.9,7582.25,7597
28 Mar 2016,7741,7749.4,7587.7,7615.1
23 Mar 2016,7717.45,7726.85,7670.6,7716.5
22 Mar 2016,7695.55,7728.2,7643.8,7714.9
21 Mar 2016,7619.2,7713.55,7617.7,7704.25
18 Mar 2016,7534.65,7613.6,7517.9,7604.35
17 Mar 2016,7557.4,7585.3,7479.4,7512.55
16 Mar 2016,7457.05,7508,7405.15,7498.75
15 Mar 2016,7535.85,7545.2,7452.8,7460.6
14 Mar 2016,7542.6,7583.7,7515.05,7538.75
11 Mar 2016,7484.85,7543.95,7460.6,7510.2
10 Mar 2016,7545.35,7547.1,7447.4,7486.15
09 Mar 2016,7436.1,7539,7424.3,7531.8
08 Mar 2016,7486.4,7527.15,7442.15,7485.3
04 Mar 2016,7505.4,7505.9,7444.1,7485.35
03 Mar 2016,7429.55,7483.95,7406.05,7475.6
02 Mar 2016,7321.7,7380.35,7308.15,7368.85
01 Mar 2016,7038.25,7235.5,7035.1,7222.3
29 Feb 2016,7050.45,7094.6,6825.8,6987.05
26 Feb 2016,7039.3,7052.9,6985.1,7029.75
25 Feb 2016,7029.85,7034.2,6961.4,6970.6
24 Feb 2016,7075,7090.8,7009.75,7018.7
23 Feb 2016,7240.3,7241.7,7090.7,7109.55
22 Feb 2016,7208.85,7252.4,7200.7,7234.55
19 Feb 2016,7170.55,7226.85,7145.95,7210.75
18 Feb 2016,7177.4,7215.1,7127.85,7191.75
17 Feb 2016,7058.85,7123.7,6960.65,7108.45
16 Feb 2016,7201.25,7204.65,7037.7,7048.25
15 Feb 2016,7057.35,7182.8,7056.8,7162.95
12 Feb 2016,7023.65,7034.8,6869,6980.95
11 Feb 2016,7203.6,7208.65,6959.95,6976.35
10 Feb 2016,7264.3,7271.85,7177.75,7215.7
09 Feb 2016,7303.95,7323.45,7275.15,7298.2
08 Feb 2016,7489.7,7512.55,7363.2,7387.25
05 Feb 2016,7418.25,7503.15,7406.65,7489.1
04 Feb 2016,7411.45,7457.05,7365.95,7404
03 Feb 2016,7392.45,7419.4,7350.3,7361.8
02 Feb 2016,7566.65,7576.3,7428.05,7455.55
01 Feb 2016,7589.5,7600.45,7541.25,7555.95
29 Jan 2016,7413.35,7575.65,7402.8,7563.55
28 Jan 2016,7426.5,7468.85,7409.6,7424.65
27 Jan 2016,7469.6,7477.9,7419.7,7437.75
25 Jan 2016,7468.75,7487.15,7421.2,7436.15
22 Jan 2016,7355.7,7433.4,7327.6,7422.45
21 Jan 2016,7376.65,7398.7,7250,7276.8
20 Jan 2016,7357,7470.9,7241.5,7309.3
19 Jan 2016,7381.8,7462.75,7364.15,7435.1
18 Jan 2016,7420.35,7463.65,7336.4,7351
15 Jan 2016,7561.65,7566.5,7427.3,7437.8
14 Jan 2016,7467.4,7604.8,7443.8,7536.8
13 Jan 2016,7557.9,7590.95,7425.8,7562.4
12 Jan 2016,7587.2,7588.3,7487.8,7510.3
11 Jan 2016,7527.45,7605.1,7494.35,7563.85
08 Jan 2016,7611.65,7634.1,7581.05,7601.35
07 Jan 2016,7673.35,7674.95,7556.6,7568.3
06 Jan 2016,7788.05,7800.95,7721.2,7741
05 Jan 2016,7828.4,7831.2,7763.25,7784.65
04 Jan 2016,7924.55,7937.55,7781.1,7791.3
01 Jan 2016,7938.45,7972.55,7909.8,7963.2
31 Dec 2015,7897.8,7955.55,7891.15,7946.35
30 Dec 2015,7938.6,7944.75,7889.85,7896.25
29 Dec 2015,7929.2,7942.15,7902.75,7928.95
28 Dec 2015,7863.2,7937.2,7863,7925.15
24 Dec 2015,7888.75,7888.75,7835.5,7861.05
23 Dec 2015,7830.45,7871.45,7826.1,7865.95
22 Dec 2015,7829.4,7846.3,7776.85,7786.1
21 Dec 2015,7745.65,7840.75,7733.45,7834.45
18 Dec 2015,7828.9,7836.15,7753.35,7761.95
17 Dec 2015,7783.05,7852.9,7737.55,7844.35
16 Dec 2015,7725.25,7776.6,7715.75,7750.9
15 Dec 2015,7659.15,7705,7625.1,7700.9
14 Dec 2015,7558.2,7663.95,7551.05,7650.05
11 Dec 2015,7699.6,7703.05,7575.3,7610.45
10 Dec 2015,7643.3,7691.95,7610,7683.3
09 Dec 2015,7695.5,7702.85,7606.9,7612.5
08 Dec 2015,7738.5,7771.25,7685.45,7701.7
07 Dec 2015,7816.55,7825.4,7746.05,7765.4
04 Dec 2015,7817.6,7821.4,7775.7,7781.9
03 Dec 2015,7902.3,7912.3,7853.3,7864.15
02 Dec 2015,7976.7,7979.3,7910.8,7931.35
01 Dec 2015,7958.15,7972.15,7934.15,7954.9
30 Nov 2015,7936.25,7966,7922.8,7935.25
27 Nov 2015,7910.6,7959.3,7879.45,7942.7
26 Nov 2015,7837.15,7897.1,7832,7883.8
24 Nov 2015,7837,7870.35,7812.65,7831.6
23 Nov 2015,7869.5,7877.5,7825.2,7849.25
20 Nov 2015,7841.9,7906.95,7817.8,7856.55
19 Nov 2015,7788.5,7854.9,7765.45,7842.75
